Instructor,Course,Quarter,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received
Moranton Nirelia Melbina-,PSYC 102 - Sensory Neuroscience (A),S221,85.7%,85.7%,5.93,B (3.00),
Sousa Margarette Pamela-Burd,PSYC 104 - Social Psychology (A),S221,90.5%,85.7%,6.6,A- (3.74),B+ (3.56)
Gorman Michael R.,PSYC 106 - Behavioral Neuroscience (A),S221,81.8%,81.8%,7.3,A- (3.73),B (3.22)
Winkielman Piotr,PSYC 114 - Lab/Psychophysiological Persp (A),S221,92.3%,92.3%,4.81,B+ (3.50),B+ (3.48)
Anagnostaras Stephan,PSYC 131 - Scientific Racism (A),S221,95.0%,100.0%,4.9,A- (3.79),A- (3.80)
Hanes Esther,PSYC 148 - Psychology/Judgement&Decision (A),S221,100.0%,100.0%,5.93,B (3.00),B (3.02)
Harris Christine Renee,PSYC 153 - Psychology of Emotion (A),S221,100.0%,33.3%,5.83,B+ (3.33),
Willis Jarryd Thomas,PSYC 155 - Social Psychology and Medicine (A),S221,91.8%,86.9%,5.43,A- (3.85),A- (3.85)
Wixted John T,PSYC 162 - Psychology and the Law (A),S221,89.5%,94.7%,5.71,B (3.22),B- (2.80)
Lacefield Katharine I,PSYC 168 - Psychological Disorders/Child (A),S221,100.0%,100.0%,5.42,A- (3.90),A- (3.83)
Van Alstyne Kaitlin Rhianna,PSYC 179 - DrugsAddiction&Mental Disordr (A),S221,97.1%,98.6%,4.76,A- (3.70),B+ (3.55)
Hanes Esther,PSYC 180 - Adolescence (A),S221,84.2%,84.2%,7.03,A- (3.84),B+ (3.31)
Anagnostaras Stephan,PSYC 181 - Drugs And Behavior (A),S221,93.1%,95.8%,5.29,B+ (3.51),B (3.29)
Rickard Timothy C.,PSYC 191 - Psychology of Sleep (A),S221,90.0%,80.0%,6.9,B (3.10),B (3.03)
Winkielman Piotr,PSYC 193L - Psychology Laboratory Topics (A),S221,75.0%,100.0%,3.0,A- (3.75),B+ (3.49)
Lacefield Katharine I,PSYC 193L - Psychology Laboratory Topics (B),S221,100.0%,100.0%,8.25,B+ (3.63),A- (3.84)
Albright Thomas D,PSYC 2 - Gen Psych:Biological Foundatns (A),S221,90.0%,90.0%,7.9,B (3.25),B- (2.98)
Pilegard Celeste Cristine,PSYC 3 - Gen Psych:Cognitive Foundatns (A),S221,100.0%,100.0%,5.1,B+ (3.58),B- (2.94)
Rickard Timothy C.,PSYC 60 - Introduction to Statistics (A),S221,100.0%,90.0%,4.5,B- (2.90),B- (2.74)
Lowe Angela Beth,PSYC 70 - Research Methods in Psychology (A),S221,96.0%,100.0%,7.0,B (3.13),C+ (2.49)
Cao Yingjun,CSE 100 - Advanced Data Structures (A),S121,90.9%,95.5%,15.41,B (3.23),B- (2.72)
Braun Oliver,CSE 101 - Design & Analysis of Algorithm (A),S121,97.1%,94.3%,12.39,B+ (3.35),B (3.27)
Jones Miles E,CSE 105 - Theory of Computation (A),S121,88.9%,100.0%,10.28,B+ (3.33),B+ (3.31)
Miranda Gregory Joseph,CSE 11 - Accel. Intro to Programming (A),S121,77.8%,100.0%,11.39,A- (3.78),B (3.03)
Powell Thomas Allan,CSE 134B - Web Client Languages (A),S121,80.0%,80.0%,11.3,B+ (3.50),B- (2.95)
Eldon John,CSE 140 - Component&Desgn Tech/Digtl Sys (A),S121,93.8%,93.8%,7.88,B+ (3.44),B (3.18)
Eldon John,CSE 140L - Digital Systems Laboratory (A),S121,100.0%,100.0%,8.75,A- (3.88),B+ (3.64)
Taram Mohammadkazem,CSE 141 - Intro/Computer Architecture (A),S121,90.9%,93.2%,10.22,B (3.23),B (3.30)
Taram Mohammadkazem,CSE 141L - Project/Computer Architecture (A),S121,77.8%,94.4%,11.79,B (3.18),B (3.19)
Kumar Rakesh,CSE 175 - Entrepreneurship for Engineers (A),S121,100.0%,100.0%,6.79,A- (3.86),
Dubnov Shlomo,CSE 190 - Topics/Computer Sci & Engineer (A),S121,33.3%,66.7%,14.5,A (4.00),
Jones Miles E,CSE 20 - Discrete Mathematics (A),S121,94.7%,94.7%,8.98,B+ (3.48),B (3.09)
Braun Oliver,CSE 21 - Math/Algorithm&Systems Analys (A),S121,94.4%,97.2%,8.16,B (3.26),B (3.11)
Miranda Gregory Joseph,CSE 3 - Fluency/Information Technology (A),S121,94.7%,94.7%,7.66,A- (3.81),B (3.15)
Cao Yingjun,CSE 30 - Computer Organiz&Systms Progrm (A),S121,85.0%,90.0%,12.4,B (3.28),B- (2.90)
Eldridge Justin Matthew,DSC 10 - Principles of Data Science (A),S121,90.0%,94.7%,11.9,A- (3.85),B+ (3.57)
Samavat Mohammad,ECE 109 - Engineering Probability&Stats (A),S121,90.9%,72.7%,11.05,B+ (3.45),B+ (3.44)
Al Ajrawi Shams,ECE 15 - Engineering Computation (A),S121,50.0%,20.0%,8.9,A- (3.80),A- (3.73)
Abi Samra Nicholas Camill,ECE 180 - Topics in ECE (A),S121,100.0%,100.0%,6.25,A- (3.88),B+ (3.63)
Abi Samra Nicholas Camill,ECE 180 - Topics in ECE (B),S121,100.0%,100.0%,5.17,B+ (3.33),B+ (3.37)
An Cheolhong,ECE 180 - Topics in ECE (C),S121,25.0%,25.0%,13.5,C (2.25),
Shevchenko Valentin I,ECE 45 - Circuits and Systems (A),S121,66.7%,50.0%,9.61,B (3.00),B (3.10)
Raihan Miah Mohammad Abu,ECE 65 - Components & Circuits Lab (A),S121,100.0%,95.7%,10.86,B+ (3.36),B- (2.71)
McIntosh Justin Daniel,LIGN 101 - Introduction/Study of Language (A),S121,100.0%,100.0%,3.5,B+ (3.60),B+ (3.57)
Huang Yaqian,LIGN 110 - Phonetics (A),S121,83.3%,83.3%,7.36,B+ (3.33),
McIntosh Justin Daniel,LIGN 8 - Languages & Cultures/America (A),S121,94.6%,97.3%,6.39,A- (3.71),B+ (3.43)
Bahadori Mohammad Yousef,MAE 101A - Introductory Fluid Mechanics (A),S121,81.8%,72.7%,8.68,C+ (2.68),B- (2.96)
Pham Hieu Tan,MAE 101C - Heat Transfer (A),S121,87.5%,100.0%,9.75,B (3.13),B (3.16)
Bahadori Mohammad Yousef,MAE 104 - Aerodynamics (A),S121,91.7%,83.3%,9.25,B (3.08),B- (2.92)
Bandaru Prabhakar,MAE 105 - Intro to Mathematical Physics (A),S121,100.0%,85.7%,10.79,C (2.29),B (3.17)
Carlson Scott Leland,MAE 11 - Thermodynamics (A),S121,66.7%,66.7%,12.33,B- (2.92),C (2.25)
Qi Huihui,MAE 131A - Solid Mechanics I (B),S121,100.0%,100.0%,6.61,B+ (3.32),C+ (2.59)
Phan Alex Minh Giang,MAE 150 - Computer-Aided Design (A),S121,92.3%,92.3%,11.27,B+ (3.54),
Qi Huihui,MAE 30A - Kinematics (A),S121,100.0%,96.2%,7.96,B+ (3.38),C+ (2.60)
Phan Alex Minh Giang,MAE 8 - MATLAB Program for Engr Analys (A),S121,100.0%,100.0%,8.28,B+ (3.33),B (3.25)
Sousa Margarette Pamela-Burd,PSYC 1 - Psychology (A),S121,100.0%,95.7%,5.8,A- (3.74),B+ (3.32)
Heyman Gail D.,PSYC 101 - Developmental Psychology (A),S121,88.2%,88.2%,5.56,B+ (3.47),B (3.02)
Chung Min-gi,PSYC 104 - Social Psychology (A),S121,94.7%,98.2%,5.83,A- (3.73),A- (3.84)
Geller Emma Harlan,PSYC 105 - Cognitive Psychology (A),S121,100.0%,100.0%,6.3,A- (3.71),B (3.20)
Dobkins Karen R.,PSYC 106 - Behavioral Neuroscience (A),S121,97.1%,97.1%,4.79,B+ (3.68),B+ (3.56)
Urgolites Zhisen Jiang,PSYC 108 - Cognitive Neuroscience (A),S121,91.3%,91.3%,7.17,B+ (3.59),B+ (3.65)
Winkielman Piotr,PSYC 114 - Lab/Psychophysiological Persp (A),S121,75.0%,100.0%,5.5,A (4.00),B+ (3.68)
Moranton Nirelia Melbina-,PSYC 122 - Mechanisms of Animal Behavior (A),S121,75.0%,100.0%,6.5,B+ (3.50),
Lacefield Katharine I,PSYC 124 - Clinical Assessment/Treatment (A),S121,100.0%,100.0%,4.65,A- (3.93),A- (3.94)
Anagnostaras Stephan,PSYC 131 - Scientific Racism (A),S121,98.0%,98.0%,4.46,A- (3.92),A- (3.87)
Steiner Eric Tomas,PSYC 132 - Hormones and Behavior (A),S121,93.0%,97.7%,6.98,B (3.19),B- (2.87)
Winkielman Piotr,PSYC 137 - Social Cognition (A),S121,100.0%,100.0%,4.0,A- (3.75),B (3.06)
Wixted John T,PSYC 144 - Memory and Amnesia (A),S121,100.0%,100.0%,5.28,B (3.00),B- (2.95)
Lacefield Katharine I,PSYC 154 - Behavior Modification (A),S121,100.0%,100.0%,5.29,A- (3.85),B+ (3.63)
Geiss Elisa G,PSYC 156 - Cognitive Development/Infancy (A),S121,100.0%,75.0%,5.5,A- (3.75),
Willis Jarryd Thomas,PSYC 158 - Interpersonal Relationships (A),S121,88.9%,85.2%,4.72,A- (3.77),B+ (3.49)
Hanes Esther,PSYC 164 - Criminology (A),S121,100.0%,100.0%,4.23,B+ (3.57),B+ (3.39)
Gorman Michael R.,PSYC 172 - Psychology of Human Sexuality (A),S121,93.3%,86.7%,6.5,B+ (3.53),B+ (3.31)
Anagnostaras Stephan,PSYC 181 - Drugs And Behavior (A),S121,96.2%,96.2%,6.19,B+ (3.58),B+ (3.33)
Barner David A.,PSYC 190 - The Science of Parenting (A),S121,87.5%,87.5%,3.97,B+ (3.60),B (3.12)
Lowe Angela Beth,PSYC 193L - Psychology Laboratory Topics (B),S121,100.0%,100.0%,6.5,A- (3.80),
Rosenberg Benjamin David,PSYC 193L - Psychology Laboratory Topics (C),S121,66.7%,100.0%,6.5,B+ (3.50),B+ (3.43)
Shields Chloe,PSYC 4 - General Psychology: Behavioral (A),S121,97.0%,100.0%,4.38,A- (3.81),B+ (3.39)
Willis Jarryd Thomas,PSYC 6 - General Psychology: Social (A),S121,87.5%,79.2%,5.22,B+ (3.67),B+ (3.62)
Lowe Angela Beth,PSYC 60 - Introduction to Statistics (A),S121,86.7%,100.0%,6.32,B (3.21),B (3.07)
Lowe Angela Beth,PSYC 60 - Introduction to Statistics (B),S121,91.7%,100.0%,5.67,B (3.17),
Geller Emma Harlan,PSYC 70 - Research Methods in Psychology (A),S121,91.4%,97.1%,6.44,B+ (3.33),B- (3.00)
Pilegard Celeste Cristine,PSYC 71 - Lab/Psych Research Methods (A),S121,100.0%,100.0%,6.08,B+ (3.58),B+ (3.35)
Alexandrov Ludmil B,BENG 100 - Intro to Prob & Stats for BENG (A),SP21,81.8%,94.5%,6.25,B+ (3.58),B+ (3.53)
Huang Xiaohua,BENG 102 - Moleculr Components Living Sys (A),SP21,78.3%,69.6%,5.02,A- (3.95),A- (3.83)
Fraley Stephanie I.,BENG 103B - Bioengineering Mass Transfer (A),SP21,56.7%,42.3%,10.7,B+ (3.43),B+ (3.49)
Shi Lingyan,BENG 112B - Fluid and Cell Biomechanics (A),SP21,100.0%,96.9%,6.81,B+ (3.55),A- (3.82)
Contijoch Francisco,BENG 125 - Modeling & Computatio/Bioengr (A),SP21,73.4%,87.0%,6.71,B+ (3.53),B+ (3.67)
Coleman Todd Prentice,BENG 130 - Biotech Thermodynamics & Kinet (A),SP21,66.7%,46.7%,7.57,B+ (3.36),A- (3.87)
Mali Prashant Gulab Ram,BENG 133 - Numerical Analys-Computatn Eng (A),SP21,90.0%,96.7%,7.81,B (3.27),B+ (3.61)
Cabrales Pedro,BENG 140B - Bioengineering Physiology (A),SP21,92.3%,92.3%,6.15,A- (3.71),A- (3.78)
Zhang Kun,BENG 160 - Chem & Molecular BENG Techniqs (A),SP21,95.7%,87.0%,7.73,B+ (3.68),A- (3.98)
Cabrales Pedro,BENG 172 - Bioengineering Laboratory (A),SP21,83.3%,95.2%,10.26,A- (3.83),A- (3.74)
Omens Jeffrey Howard,BENG 172 - Bioengineering Laboratory (A),SP21,83.3%,90.5%,10.26,A- (3.83),A- (3.74)
Bafna Vineet,BENG 182 - Biological Databases (A),SP21,76.9%,84.6%,8.65,A- (3.83),A- (3.80)
Kwon Ester Jihae,BENG 186A - Principles/Biomaterials Design (A),SP21,83.8%,86.7%,6.67,B+ (3.39),B (3.28)
Wheeler Bruce Christopher,BENG 187A - BENG Design Project: Planning (A),SP21,91.3%,97.1%,1.95,A- (3.95),
Wheeler Bruce Christopher,BENG 187D - BENG Design Proj:Presentation (A),SP21,100.0%,96.6%,4.43,A (4.00),A- (3.96)
Wheeler Bruce Christopher,BENG 187D - BENG Design Proj:Presentation (B),SP21,93.5%,93.5%,6.69,A (4.00),A- (3.99)
Wheeler Bruce Christopher,BENG 187D - BENG Design Proj:Presentation (C),SP21,94.4%,94.4%,5.24,A (4.00),A- (3.94)
Contijoch Francisco,BENG 189 - Physiological Systems Eng (A),SP21,94.1%,93.8%,11.44,B+ (3.64),
Engler Adam J.,BENG 193 - Clinical Exp in Bioengineering (A),SP21,100.0%,100.0%,4.19,A- (3.92),A (4.00)
Engler Adam J.,BENG 91 - Topics in Bioeng and Medicine (A),SP21,100.0%,100.0%,1.36,A (4.00),
Moshiri Alexander Niema,CSE 100 - Advanced Data Structures (A),SP21,99.1%,98.8%,9.02,A- (3.74),B+ (3.55)
Dasgupta Sanjoy,CSE 101 - Design & Analysis of Algorithm (A),SP21,91.7%,96.4%,9.89,B+ (3.52),B+ (3.55)
Impagliazzo Russell,CSE 101 - Design & Analysis of Algorithm (B),SP21,90.5%,85.7%,9.88,B (3.24),B+ (3.42)
Impagliazzo Russell,CSE 101 - Design & Analysis of Algorithm (C),SP21,83.3%,79.2%,9.8,B (3.28),B+ (3.47)
Meyer Kyle Phillip,CSE 105 - Theory of Computation (A),SP21,67.5%,46.2%,8.91,B (3.29),B+ (3.42)
Meyer Kyle Phillip,CSE 105 - Theory of Computation (B),SP21,67.5%,54.2%,8.33,B+ (3.46),B+ (3.50)
Micciancio Daniele,CSE 107 - Intro to Modern Cryptography (A),SP21,83.3%,81.0%,8.98,B+ (3.47),B+ (3.35)
Miranda Gregory Joseph,CSE 11 - Accel. Intro to Programming (A),SP21,85.7%,85.7%,10.26,A- (3.71),B+ (3.40)
Miranda Gregory Joseph,CSE 11 - Accel. Intro to Programming (B),SP21,87.0%,87.0%,9.59,A- (3.71),B+ (3.57)
Powell Thomas Allan,CSE 110 - Software Engineering (A),SP21,74.0%,76.9%,10.46,B+ (3.68),A- (3.82)
Gillespie Gary N,CSE 12 - Basic Data Struct & OO Design (B),SP21,83.0%,66.0%,12.95,B (3.24),B+ (3.43)
Gillespie Gary N,CSE 12 - Basic Data Struct & OO Design (C),SP21,89.7%,76.9%,13.17,B+ (3.51),B+ (3.49)
Miranda Gregory Joseph,CSE 12 - Basic Data Struct & OO Design (D),SP21,90.0%,90.0%,12.11,B+ (3.44),B+ (3.41)
Zhou Yuan-Yuan,CSE 120 - Princ/Computer Operating Systm (A),SP21,91.8%,93.7%,10.05,B+ (3.37),B (3.21)
Shalev Aaron D,CSE 123 - Computer Networks (A),SP21,72.4%,89.7%,13.67,B+ (3.31),C+ (2.69)
Voelker Geoffrey M.,CSE 125 - Software Sys Design & Implemnt (A),SP21,100.0%,100.0%,11.7,A (4.00),A (4.00)
Savage Stefan,CSE 127 - Intro to Computer Security (A),SP21,97.1%,98.5%,8.65,B+ (3.58),B+ (3.40)
Polikarpova Nadezhda,CSE 130 - Progrmng Lang:Princpl&Paradigm (A),SP21,92.5%,97.5%,8.79,A- (3.77),B+ (3.56)
Jhala Ranjit,CSE 131 - Compiler Construction (A),SP21,94.4%,94.4%,8.83,A- (3.88),A- (3.74)
Jhala Ranjit,CSE 131 - Compiler Construction (B),SP21,100.0%,93.3%,7.79,A- (3.93),B+ (3.63)
Deutsch Alin Bernard,CSE 132B - Database System Applications (A),SP21,91.7%,83.3%,9.33,A (4.00),A- (3.84)
Kumar Arun Kumar,CSE 132C - Database System Implementation (A),SP21,70.0%,80.0%,11.3,B (3.17),B+ (3.60)
Powell Thomas Allan,CSE 135 - Online Database Analytics Appl (A),SP21,77.1%,80.0%,11.13,B+ (3.56),B+ (3.61)
Cheng Chung Kuan,CSE 140 - Component&Desgn Tech/Digtl Sys (A),SP21,85.9%,88.0%,6.99,A- (3.88),A- (3.83)
Eldon John,CSE 140L - Digital Systems Laboratory (A),SP21,85.1%,78.7%,6.89,A (4.00),A- (3.96)
Eldon John,CSE 140L - Digital Systems Laboratory (B),SP21,80.5%,80.5%,6.05,A- (3.90),A- (3.84)
Porter Leonard Emerson,CSE 142 - Comp Arch Software Perspective (A),SP21,89.4%,97.3%,7.71,B+ (3.65),B+ (3.37)
Porter Leonard Emerson,CSE 142 - Comp Arch Software Perspective (B),SP21,80.0%,92.0%,8.07,B+ (3.56),B+ (3.52)
Swanson Steven James,CSE 142L - Software Proj Comp Arch (A),SP21,33.3%,67.6%,12.34,B+ (3.56),B+ (3.65)
Swanson Steven James,CSE 142L - Software Proj Comp Arch (B),SP21,36.5%,70.2%,12.02,B+ (3.69),B+ (3.66)
Gupta Rajesh K.,CSE 143 - Microelectronic System Design (A),SP21,94.7%,89.5%,6.08,B+ (3.35),B (3.26)
Kastner Ryan Charles,CSE 145 - Embedded System Design Project (A),SP21,100.0%,100.0%,8.1,A- (3.75),A (4.00)
Tullsen Dean Michael,CSE 148 - Adv Processor Arch Design Proj (A),SP21,100.0%,100.0%,11.83,B+ (3.43),
Shang Jingbo,CSE 151A - Intro to Machine Learning (A),SP21,90.7%,87.0%,7.35,A- (3.80),A- (3.91)
Yu Qi,CSE 151B - Deep Learning (A),SP21,75.6%,75.0%,11.3,B+ (3.33),A- (3.84)
Gillespie Gary N,CSE 15L - Software Tools&Techniques Lab (A),SP21,90.9%,75.9%,6.0,B+ (3.64),B+ (3.44)
Ochoa Benjamin Lawrence,CSE 15L - Software Tools&Techniques Lab (B),SP21,90.0%,95.0%,5.17,A- (3.81),B+ (3.63)
Ochoa Benjamin Lawrence,CSE 15L - Software Tools&Techniques Lab (C),SP21,100.0%,100.0%,5.46,A- (3.85),B+ (3.59)
Ramamoorthi Ravi,CSE 168 - Computer Graphics II:Rendering (A),SP21,95.2%,100.0%,13.17,B+ (3.47),B+ (3.62)
Kumar Rakesh,CSE 175 - Entrepreneurship for Engineers (A),SP21,90.9%,93.9%,4.98,A- (3.88),B+ (3.33)
Kumar Rakesh,CSE 175 - Entrepreneurship for Engineers (B),SP21,100.0%,100.0%,4.83,B+ (3.67),
Bafna Vineet,CSE 182 - Biological Databases (A),SP21,100.0%,100.0%,9.17,A- (3.78),A- (3.71)
Gymrek Melissa Ann,CSE 185 - Advanced Bioinformatics Lab (A),SP21,91.7%,96.4%,10.5,B+ (3.48),B+ (3.52)
Porter George M,CSE 190 - Topics/Computer Sci & Engineer (A),SP21,100.0%,100.0%,4.64,A- (3.70),A- (3.94)
Schulze Jurgen P.,CSE 190 - Topics/Computer Sci & Engineer (B),SP21,100.0%,100.0%,10.72,A- (3.73),A- (3.91)
Bandeira Nuno Filipe Cabrita,CSE 190 - Topics/Computer Sci & Engineer (D),SP21,100.0%,100.0%,6.5,B+ (3.60),
Vaccaro Kristen Marie,CSE 190 - Topics/Computer Sci & Engineer (F),SP21,88.0%,88.0%,6.67,A- (3.71),B (3.26)
Shang Jingbo,CSE 191 - Semnr/Computer Sci & Engineer (A),SP21,100.0%,100.0%,5.25,A (4.00),C+ (2.67)
Alvarado Christine J.,CSE 194 - Race Gender & Computing (A),SP21,84.6%,92.3%,5.12,A- (3.85),B+ (3.56)
Politz Joseph Gibbs,CSE 194 - Race Gender & Computing (A),SP21,84.6%,92.3%,5.12,A- (3.85),B+ (3.56)
Alvarado Christine J.,CSE 198 - Direct Group Study (0),SP21,100.0%,100.0%,7.36,A (4.00),
Gillespie Gary N,CSE 198 - Direct Group Study (0),SP21,100.0%,100.0%,4.5,,
Jones Miles E,CSE 20 - Discrete Mathematics (A),SP21,91.2%,94.1%,7.62,B+ (3.59),B (3.17)
Kahng Andrew Byun,CSE 21 - Math/Algorithm&Systems Analys (A),SP21,87.0%,89.1%,8.33,B+ (3.44),B (3.21)
Jones Miles E,CSE 21 - Math/Algorithm&Systems Analys (B),SP21,89.1%,88.1%,8.2,B+ (3.41),B (3.29)
Soosai Raj Adalbert Geral,CSE 3 - Fluency/Information Technology (A),SP21,98.9%,100.0%,6.03,A- (3.77),A- (3.82)
Chin Bryan W.,CSE 30 - Computer Organiz&Systms Progrm (A),SP21,87.8%,94.4%,10.79,B+ (3.50),B+ (3.52)
Chin Bryan W.,CSE 30 - Computer Organiz&Systms Progrm (B),SP21,85.8%,92.9%,10.86,B+ (3.51),B+ (3.52)
Moshiri Alexander Niema,CSE 87 - Freshman Seminar (A),SP21,100.0%,100.0%,1.17,A (4.00),
Howden William E.,CSE 87 - Freshman Seminar (B),SP21,90.0%,100.0%,0.7,,
Cao Yingjun,CSE 8A - Intro to Programming 1 (A),SP21,83.7%,88.2%,8.73,B+ (3.68),B+ (3.66)
Cao Yingjun,CSE 8A - Intro to Programming 1 (B),SP21,93.0%,97.7%,8.52,B+ (3.46),B+ (3.50)
Cao Yingjun,CSE 8A - Intro to Programming 1 (C),SP21,92.6%,96.8%,8.35,B+ (3.66),B+ (3.59)
Allos Haytham Issa,CSE 8B - Intro to Programming 2 (A),SP21,76.9%,71.2%,10.8,B (3.24),B (3.12)
Minnes Kemp Mor Mia,CSE 95 - Tutor Apprentice (A),SP21,94.1%,100.0%,1.83,A (4.00),
Aoi Mikio C,DSC 10 - Principles of Data Science (A),SP21,91.2%,84.2%,8.78,B+ (3.57),B+ (3.35)
Salimi Babak,DSC 100 - Intro to Data Management (A),SP21,90.9%,90.9%,5.41,A- (3.86),
Albuyeh Rod,DSC 102 - Systems for Scalable Analytics (A),SP21,78.7%,67.4%,5.54,A- (3.78),A- (3.98)
Nusrat Sabrina,DSC 106 - Intro to Data Visualization (A),SP21,83.3%,75.0%,4.0,A- (3.92),A- (3.94)
Belkin Mikhail,DSC 140A - Probabilistic Modeling and ML (A),SP21,34.4%,21.9%,6.81,B (3.20),B+ (3.66)
Roberts Margaret Earling,DSC 161 - Text as Data (A),SP21,100.0%,100.0%,4.25,A- (3.75),B+ (3.66)
Fraenkel Aaron Mcmillan,DSC 167 - Fairness&AlgorithmicDecisions (A),SP21,87.5%,100.0%,6.0,B+ (3.64),B+ (3.41)
Eldridge Justin Matthew,DSC 190 - Topics in Data Science (A),SP21,100.0%,100.0%,4.36,A- (3.78),A- (3.70)
Langlois Marina,DSC 20 - Prgrmng/DataStruc for Data Sci (A),SP21,85.3%,73.5%,11.47,B+ (3.39),B+ (3.38)
Langlois Marina,DSC 30 - DataStrc/Algrthms for Data Sci (A),SP21,83.8%,72.1%,10.65,B+ (3.47),B+ (3.36)
Tiefenbruck Janine LoBue,DSC 40A - Theor Fndtns of Data Sci I (A),SP21,76.2%,75.0%,11.26,B (3.08),B+ (3.47)
Tiefenbruck Janine LoBue,DSC 40A - Theor Fndtns of Data Sci I (B),SP21,77.8%,77.8%,9.7,B+ (3.38),B+ (3.40)
Mazumdar Arya,DSC 40B - Theor Fndtns of Data Sci II (A),SP21,100.0%,87.0%,5.98,B+ (3.61),B+ (3.65)
Wang Yusu,DSC 40B - Theor Fndtns of Data Sci II (A),SP21,100.0%,87.0%,5.98,B+ (3.61),B+ (3.65)
Eldridge Justin Matthew,DSC 80 - Practice of Data Science (A),SP21,98.4%,100.0%,12.11,B+ (3.56),B+ (3.67)
Nusrat Sabrina,DSC 90 - Seminar in Data Science (A),SP21,100.0%,100.0%,1.75,,
Langlois Marina,DSC 95 - Tutor Appshp in Data Science (A),SP21,100.0%,100.0%,1.7,,
Baghdadchi Saharnaz,ECE 100 - Linear Electronic Systems (A),SP21,96.9%,99.2%,8.83,B+ (3.52),B+ (3.34)
Bharadia Dinesh,ECE 101 - Linear Systems Fundamentals (A),SP21,78.1%,62.5%,8.86,B (3.15),B (3.10)
Kuzum Duygu,ECE 103 - Fundamntls/Devices & Materials (A),SP21,87.9%,97.0%,7.5,B (3.13),B (3.17)
Fullerton Eric E,ECE 107 - Electromagnetism (A),SP21,72.2%,77.8%,12.17,B (3.20),B- (2.86)
Zeger Kenneth A.,ECE 109 - Engineering Probability&Stats (A),SP21,80.4%,80.4%,7.02,B (3.23),B (3.11)
Eldon John,ECE 111 - Advanced Digital Design Proj (A),SP21,90.7%,97.7%,6.98,B+ (3.65),A- (3.94)
Sievenpiper Daniel F.,ECE 123 - Antenna Systems Engineering (A),SP21,86.7%,93.3%,6.5,B+ (3.40),B (3.14)
Esmaili Gholamreza,ECE 124 - Motor Drives (B),SP21,90.0%,90.0%,14.7,B+ (3.40),
Esmaili Gholamreza,ECE 125B - Intro to Power Electronics II (A),SP21,88.2%,88.2%,12.5,B+ (3.40),A- (3.71)
Abi Samra Nicholas Camill,ECE 128C - Power Grid Resiliency (A),SP21,100.0%,100.0%,5.83,B+ (3.64),B+ (3.69)
Gessner Richard K.,ECE 140B - The Art of Product Eng II (A),SP21,81.8%,100.0%,13.95,A- (3.89),B+ (3.59)
Khoshabeh Ramsin,ECE 140B - The Art of Product Eng II (A),SP21,81.8%,100.0%,13.95,A- (3.89),B+ (3.59)
Gessner Richard K.,ECE 141B - Software Foundations II (A),SP21,100.0%,100.0%,16.0,B+ (3.50),B (3.23)
Phan Alex Minh Giang,ECE 144 - LabVIEW Programming (A),SP21,94.7%,94.7%,9.66,B (3.12),B+ (3.52)
Silberman Jack,ECE 148 - Intro to Autonomous Vehicles (A),SP21,100.0%,100.0%,12.25,A- (3.75),
Schurgers Curt,ECE 15 - Engineering Computation (A),SP21,80.4%,86.3%,9.44,B (3.15),C+ (2.37)
Zhang Xinyu,ECE 158B - Data Networks II (A),SP21,100.0%,100.0%,9.0,B+ (3.33),
Khoshabeh Ramsin,ECE 16 - Rapid Hardware & Software Dsn (A),SP21,100.0%,100.0%,10.25,A- (3.86),A- (3.92)
Harris Frederick Joel,ECE 161C - Apps of Digital Signal Process (A),SP21,86.7%,86.7%,8.0,A- (3.75),B+ (3.60)
Hsueh Tzu-Chien,ECE 163 - Electronic Circuits & Systems (A),SP21,89.7%,91.4%,8.53,B (3.16),B (3.24)
Mercier Patrick Philip,ECE 165 - Digtl Integrated Circuit Desgn (A),SP21,74.4%,84.6%,11.68,B- (2.97),B (3.16)
Gilja Vikash,ECE 17 - Object-Oriented Programming (A),SP21,82.5%,89.7%,9.55,B+ (3.58),B+ (3.55)
Sworder David D.,ECE 171A - Linear Control System Theory (A),SP21,73.2%,29.3%,8.14,B (3.19),B+ (3.48)
Papen George C.,ECE 181 - Physical Optics&Fourier Optics (A),SP21,75.0%,75.0%,6.5,B+ (3.33),
Cosman Pamela C.,ECE 189 - Technical Public Speaking (A),SP21,100.0%,100.0%,4.3,A (4.00),
Zhang Xinyu,ECE 191 - Engineering Group Design Proj (A),SP21,60.0%,75.0%,13.3,B (3.25),
Morris Karcher William,ECE 25 - Introduction to Digital Design (A),SP21,96.3%,96.3%,6.65,B+ (3.33),B (3.24)
Kang Mingu,ECE 30 - Intro to Computer Engineering (A),SP21,72.5%,85.9%,7.77,B (3.20),B (3.29)
Taur Yuan,ECE 35 - Introduction to Analog Design (A),SP21,71.8%,41.0%,8.74,B- (2.86),B- (2.95)
Taur Yuan,ECE 35 - Introduction to Analog Design (B),SP21,83.3%,50.0%,7.83,B+ (3.50),
Antipa Nicholas A,ECE 45 - Circuits and Systems (A),SP21,70.2%,80.8%,9.08,B- (2.97),B (3.16)
Morris Karcher William,ECE 5 - Intro to ECE (A),SP21,100.0%,100.0%,5.25,A- (3.86),B+ (3.61)
